Adress,Google-adress,Lat,Lon
"Gärdesvägen 29 LGH 1201, 13551 Tyresö, Sverige","1201, Gärdesvägen 29, 135 51 Tyresö, Sweden",59.22215070000001,18.1969623
"Bockvägen 14, 13550 Tyresö, Sverige","Bockvägen 14, 135 50 Tyresö, Sweden",59.23508580000001,18.1990904
"Björnmossegången 99, 13534 Tyresö, Sverige","Björnmossegången 99, 135 34 Tyresö, Sweden",59.2270581,18.2500065
"Bondvägen 148, 13675 Vendelsö, Sverige","Bondvägen 148, 136 75 Vendelsö, Sweden",59.20242320000001,18.2612066
"Storängsvägen 178, 13672 Vendelsö, Sverige","Storängsvägen 178, 136 72 Vendelsö, Sweden",59.1968954,18.1998815
"Gudöterrassen 922, 13553 Tyresö, Sverige","Gudöterrassen 922, 135 53 Tyresö, Sweden",59.20988240000001,18.2010183
"Amaryllissvägen 13A, 13547 Tyresö, Sverige","Amaryllisvägen 13, 135 47 Tyresö, Sweden",59.24422080000001,18.2021246
"Amaryllisvägen 13A, 13547 Tyresö, Sverige","Amaryllisvägen 13, 135 47 Tyresö, Sweden",59.24422080000001,18.2021246
"Tors väg 8, 13551 Tyresö, Sverige","Tors väg 8, 135 51 Tyresö, Sweden",59.2232114,18.2054158
"Renlavsgången 89, 13535 Tyresö, Sverige","Renlavsgången 89, 135 35 Tyresö, Sweden",59.2357036,18.2432928
"Näsbyvägen 18C, 13553 Tyresö, Sverige","Näsbyvägen 18C, 135 53 Tyresö, Sweden",59.2123287,18.1998717
"Mellanvägen 17, 13560 Tyresö, Sverige","Mellanvägen 17, 135 60 Tyresö, Sweden",59.2330966,18.2800303
"Lodjurets Gata 248, 13664 Haninge, Sverige","Lodjurets gata 248, 136 64 Haninge, Sweden",59.16520320000001,18.1691875
"Trångsundsvägen 23B, 13552 Tyresö, Sverige","Trångsundsvägen 23B, 135 52 Tyresö, Sweden",59.22282849999999,18.1943465
"Åkervägen 27, 13552 Tyresö, Sverige","Åkervägen 27, 135 53 Tyresö, Sweden",59.2193092,18.2030176
"Vendelsövägen 74, 13553 Tyresö, Sverige","Vendelsövägen 74, 135 53 Tyresö, Sweden",59.2169131,18.2102212
